Serial No,App Name,Review Comments
,,My doctor check it with his way of taking BP n they were the same. So now he believes the reading.
,,Failure of device to turn on repeatedly and not completing final reading of 3 only aggravates and raises blood pressure
,,Plastics wear out...can't close battery cover
,,Very reliable instrument.... recommending to all
,,I take my blood pressure first thing in the morning so I can stay ahead of any issues. Qardio makes the reading easy to take and easy to record the results.
,,Very convenient. I really like tracking my BP and pulse on my phone plus being able to make notes. Great app! Great cuff!
,,"I love it! It records my BP on my smart phone so I easily share with my physician. I love no cords, or tubes to fight with. I like the 3 BP average too."
,,Works perfectly and gives accurate readings. Be sure to follow the instructions on having your phone near the cuff.
,,"Very convenient, easy to use (and I hope accurate!). Love being able to link with Bluetooth Cardiobase 2 scales for tracking on health apps."
,,"The easiest installation of any app and device I have experienced, ever. I was so impressed with blood pressure monitor that I bought their scale!"
,,"Convenient, but cross checking with a trusted arm unit showed this unit's systolic reading consistently about 12 points higher. Allow for that and it is a good value."
,,"As a cardiologist, I can say I have recommended the Qardio monitor to my patients and use it myself. Great way to record BP results over time."
,,Ok I will Love it for its convenient size and portability
,,"Terrible pairing experience on android. It most certainly was not just like magic as per the instructions, the omron device is far easier to use, and less bulky"
,,well done
,,"useful and helpful app very userfriendly app , one can even chek ur riskfactor for heart attack"
,,Great selfless job by Dr rajeev. Hope people use and share it to reduce the disease burden.
,,Wonderful app!! Easy to use and extremely helpful for the entire family. Highly recommended!
,,"Superb app. Really Speaking, i loved this app. This app is so simple & informative that anyone can
 operate this app. Thanks Dr. Rajeev for inventing such an App."
,,Very Useful App to know about heart attack symptoms. .
,,Great app sir . Excellent work and true information...nice Dr Rejeev sir ji
,,Excellent app for every person who cares about his health. Download it now
,,Life saver!! Wonderful app. I hope people use it!
,,It's very useful and helpful for our health.
,,Great app!! Simple to use and very helpful
,,Any body can easily assess himself
,,Musheer Ahmad
,,Shiv sagar Its very good
,,Life saving app U can save lifes.......really
,,Good application Some diseases not found like hypotension
,,"Enlightening, informative, easy to read, what i was looking for, yet not lenghty"
,,This app is just too educating and interesting for real!!!
,,Is very good and useful..i recommend this app for everyone especially people who sells drugs
,,Helpful. Lot of knowledge. Very nice and interesting to study.
,,"Great app for quick review. One has to understand that medical school takes years and years of 
studies and so 1 single app cannot cover everything in detail and it's presented in such a way that 
non medicos can understand. So keeping that in mind it's a great app which I am sure will improve 
over time. Keep it up guys. Just 1 issue, how can I get rid of the ads? I don't mind paying for the app."
,,"It gives good digonistic problems and expirience,and that can make you to explain better to a Doctor
 or a medical practictioner your problems you are having.i like it."
,,Very useful as a medical student...glad to have this app
,,For all paid game to install free come inbox
,,"Its very helpful and useful helps adding more biological knowledge,"
,,Exceptional service levels
,,This is best app .I cannot exlpane how much this app give benefits me I love this app and I strongly recommend to all of you guys to download it
,,Very easy to use. Keeps track easily and helps to show patterns
,,"Because my blood pressure fluxuates from too low to too high, Qardio Heart has been AWESOME with assisting me in determing how often and how much medication to take, or not take, daily."
,,"This serves as a good tracker, especially when you have a history of heart disease."
,,Crashes and won't work now after their last update. No way to undo their update.
,,Great product and easy to use. Very accurate so it gives you piece of mind.
,,Very easy to use and store information to display to doctor.
,,Very easy to use and compact.
,,After the last update is crashing and I can't use it anymore....
,,Compact monitor. Easy to use app.
,,Great selfless job by Dr rajeev. Hope people use and share it to reduce the disease burden.
,,Wonderful app!! Easy to use and extremely helpful for the entire family. Highly recommended!
,,"Superb app. Really Speaking, i loved this app. This app is so simple & informative that anyone can
 operate this app. Thanks Dr. Rajeev for inventing such an App."
,,Very Useful App to know about heart attack symptoms. .
,,Great app sir . Excellent work and true information...nice Dr Rejeev sir ji
,,Excellent app for every person who cares about his health. Download it now
,CURRENT Diagnosis & Treatment: Cardiology,
,,quick and easy to use but questions are not asked in layman's terms making them easier to answer.
,,How can it analyse my heart without any physical contact with phone. Rubbish
,,hoplessneed to know your cholestral and blood pressure before use and doesnt take into account weight lifestyle etc dont bother
,,An app that is very valuable in diagnosing the status of your heart. It may not be accurate to the point but you can have a rough idea if your heart is in danger and get it checked.
,,"This app is very valuble for pre understanding your heart status as cardiovascular deseases seem to be increasing day by day, great job developers...."
,,Great app 👏 . Now you can be awared of heart risks ten years earlier
,,This is a great app and well worked. Please do insert the age levels below 20s too....
,,It's a very valuable app and well worked👌
,,This is a fantastic app...nice work✌️
,,Good job man...Very useful application.!!!
,,Interface is nice and simple.easy to use.
,,Great app and very useful...❤
,,Superb app & Great work... 😍👌
,,"In short, immaculate 🔥"
,,Woow😍😍😍great one✌️
,,A very useful app! Good job ! 👍
,,It is very usefull app
,,Wow 😍😍 this is a great app
,,This app is very valuable and it helps for cardiovascular deseases.. great job👌👌👌
,,This app is masterpiece.wow.
,,Good Job!
,,great work
,,This app is very useful app
,,nice work
,,great app
,,A good app
,,App was awesome
,,great app
,,brilliant and really usefull👌💥
,,"Simple, quick and useful."
,,"Nice app,and it is much useful ..thank u brother 👌👌👌👌👍"
,,"Good,but the ads are disturbing."
,,Thanks for putting this app.for refreshing
,,very helpful this app is great
,,Its nicest medical app
,,Not opening
,,Well I am a med student and this app helped me with somethings regarding heart disease.
,,"I am willing to known about heart problems and this app helped me lot to get information about heart
 problems , causes , symptoms"
,,It's really great for the fire/EMS field
,,This is simply helpful.
,,A really useful app for Med students.
,,Good App
,,Nice
,,Good
,,"Nice app gives you a nice start in studing cardiology thanks alot and hope you do that for all branches 
of internal medicine"
,,Amazing app I never saw such a free and very easy app before
,,Very informative app Good information about general disorders
,,Nice app
,,Very good information
,,Good Hmm
,,Interesting
,,Good
,,Nice
,,Great work
,,Woow great app ❤️
,,Very useful app.
,,Limited
,,Great app
,,Nice
,,Great app 
,,good job
,,nice app
,,This is actually a brilliant app....never have found a more better app than this before...
,,Works great for me. Very accurate results. Great work
,,I am yet to know
,,Ok nice
,,good work for all
,,Useless stuff
,,nice
,,"Good, useful"
,,nice app
,,good app
,,nice work
,,Good work
,,educational
,,Very good
,,Very good
,,amezing stuff
,,good
,,nice
,,good app
,heart walk,
,,"Very good app. I do not know how difficult it would be to program, but adding the option of rotating in the sagittal plane with one finger so that we could view it from the top or the bottom would be great. In many apps, swipe is with two fingers.."
,,"Nice! Well done, accurate, informative, and the visuals are awesome. I downloaded the other apps you have too. Thank You!"
,,"Exceptionally Extraordinary Excellent, Unique lucid Conclusive Information about Our Fantastic Engine, You did Splendid job, i am Speechless, Best App Ever Installed in 3 D..."
,,"This app is so so great. It gives me correct information, just what i needed."
,,"First of all Victor, thank you for your humble personality & willingness to let us help you thru suggestions of improvement to your app, so we all can learn about the heart...non-medical students, too! My husband has a heart condition. My own heart is put at ease with this app & the American Heart Association app by helping me understand how the heart works an otherwise very complicated subject matter; and how to help my husband live a long life! This is important to me for I love him MUCH!❤"
,,This was very interesting that can actually see pictures that makes sense to me very informative
,,Marvelously illustrated and interactive anatomic app. Highly engaging and informative.
,,hangs too much. reason are too much ads on it. when turn of data then it works smooth
,,Its has amazing graphics making it easy to use and understand extremely informative thank you
,,Very good app because it is helpful for every medical student
,,Where are sup. and inferior mesentric? celiac trunk and some others good app but not sufficient.
,,when ever i click the play button the screen turns black and freaks out
,,"This app has been helpful, good work."
,,Very nice a need more application
,,Excellent 3D animation....
,,i like this app very much ....it helps me a lot!!😊
,,"totally awesome app, visually stunning"
,,"It's very educational, just what I need."
,,Thank you for your application. It's really helpful for this situation. When the students are not going to school because of covid-19
,,Great app
,,love it
,,simple awesome
,,"I think this app is amazing! If you're looking for an app to get the latest news on outbreaks or infections and diseases in general, it's for you! I think a notification feature on the areas you want would make this app even better. Please take this into account as I wpuld love this to become a thing! Thank you."
,,Very nice apps
,,Very Helpful Apps
,,easy to use
,,gud
,,Very Helpful Apps
,,Wonderful information
,,very useful
,,nice
,,"Hello this app is very good for medical students, I really love it, so if you haven't try it please do."
,,nice app
,,Great. Kindly make some apps for prevention of blood born diseases.
,,Dharam jeet chaudhary 894@gmail. Com Health
,,Hiv AIDS allocation Nop care
,,See whAt I have
,,It's good for study material
,,It really helps me a lot .
,,please translucent toshiba urdu please
,,Learningfull
,,thanks great job
,,Nice Ok good
,,thanks
,,Ilike
,,Nice application.
,,useful
,,Awesome!
,,very good
,,Nice Niche
,,good knowledge
,,is good
,,Nice app
,,it nice
,,Nice
,,excellent
,,good
,,excellent
,,"It has educate me on home management of SCD, it's great,Tks to u"
,,HIV positive thoughts and feelings what medicine taking
,,Not an extensive list of subject matter.
,,blood. sugar. random. 126.0 mg/dl 70-140
,,"Complet info i needed on blood plateletes,i recommend it."
,,I learn more from this document.
,,Us to treat diseases
,,its ok for a basic understanding
,,thank for struggling
,,good app like it
,,I am yet to know
,,Ok nice
,,good work for all
,,Useless stuff
,,nice
,,"Good, useful"
,,nice app
,,good app
,,nice work
,,Good work
,,educational
,,Very good
,,Very good
,,amezing stuff
,,good
,,nice
,,good app
,,love it
,,c
,,good job
,,user friendly
,,very informative
,,excellent...but upgrade into detail explanation ....maybe with diagrams
,,useful
,,informative
,,NICE
,,perfect
,,good
,,"I love this app .. Saw first when i was searching something else and saw this app... After checking
 the ratings of this i qas installed it and now got too much knowledge from this app"
,,Good app. Thanks
,,"Good job, but explanations is deeply scientific"
,,I am a new user.
,,Best App for cardiology
,,Superb app I love it
,,i am new with this app
,,more than perfect
,,deserves each star
,,Excellent
,,Excellent
,,This app is too good
,,Very interesting worth trying
,,Nice app this is app study best
,,Animation is worthless Faltu app
,,It's very useful
,,It is not useful to study
,,superior mesenteric artery is not there.
,,very HeLpfuL application thank you for Creating this app😊
,,I like This app Baecuse it Hlep me in the Exams Baecuse Of Taht ilke hime so Thanks a lot For The milking This app
,,Very helpful for my study
,,should develop more#budget prob?
,,"Nyc if it is not a online app,☺️"
,,Best best and best
,,"Allahu alamu,,"
,,Aowsome
,,Ok nice
,,studied
,,nice work
,,Aowsome
,,nice experience
,,Very satisfied
,,nice one
,,satified
,,Very educative
,,ok nice
,,Excellent
,,Amazing app I never saw such a free and very easy app before
,,Excellent
,,wonderful
,,Excellent
,,Interesting
,,amazing 
,,good
,,Please detail hindi ya Marathi language jo samaj sake
,,very well app for knowing about blood dieases
,,Might be a good thing to me.
,,Super its more useful
,,I think so much appreciated
,,I like this application. it is very useful for medical profession.
,,It's really interesting
,,This is what I want
,,Superb this is a good app
,,Very good app
,,include more article
,,Very nice app
,,very informative
,,Very nice app
,,Very fine app
,,Very fine app
,,Please explain with videos
,,Excellent app
,,very good
,,Excellent app
,,very nice
,,quiet ok
,,Useful app
,,nice
,Circulatory System in 3D (Anatomy),
,,It is only basic and not advanced Only for early students
,,"I yazidu suleman sani from bungudu local government zamfara states, i,m studying community health in samkwang college of health science and takama area gusau"
,,Everyone should Download this App this is a Beautiful App it's Layed out Really Nicely. Illustrations are Beautiful Weall Done. There's quite a bit of information be nice if you could save save to favorites
,,Good For new medical students this app give the basic knowledge so its good
,,Not bad Describes how to read p waves etc. And pretty descriptive. Not bad!
,,I love you damini pohekar g v i s h amravati MA
,,Great to have on your phone. Pretty awesome!!
,,Perfect app. Modern comprehensive informations and gorgeous figures and illustrations.
,,Fab aap Its easy to understand concepts
,,The App I think it was boring
,,"Wonderful app, I am looking for app like this one"
,,It totally useful!
,,BOMMERA PRAVEEN Very usefull .Good app
,,Very fine Fine
,,Goood Very use full
,,Very good web Like it
,,Very good app
,,include more article
,,Very nice app
,,Excellent app for every person who cares about his health. Download it now
,,Life saver!! Wonderful app. I hope people use it!
,,It's very useful and helpful for our health.
,,Great app!! Simple to use and very helpful
,,Any body can easily assess himself
,,Musheer Ahmad
,,Shiv sagar Its very good
,,Life saving app U can save lifes.......really
,,"Love it,easy to use."
,,Very good app
,,Very very useful
,,So Nice app...
,,Loved it!!
,,best good
,,good
,,Great app!! Simple to use and very helpful
,,Any body can easily assess himself
,,Musheer Ahmad
,,Shiv sagar Its very good
,,Life saving app U can save lifes.......really
,,"Love it,easy to use."
,,Very good app
,,Very very useful
,,So Nice app...
,,Loved it!!
,,best good
,,thank you so much
,,Very nice apps
,,Very Helpful Apps
,,easy to use
,,gud
,,Very Helpful Apps
,,Wonderful information
,,very useful
,,nice
,,"Hello this app is very good for medical students, I really love it, so if you haven't try it please do."
,,nice app
,,Great. Kindly make some apps for prevention of blood born diseases.
,,Human brain
,,Its a nice app...
,,I love the app
,,Love it. Great
,,Easy to learn
,,Excellent
,,God work This ap wark god
,,Good app Very informative picture
,,It is the best That app is the one
,,You are serve for us
,,Cardio vascular Educational
,,It's ok
,,ok k
,,nice app
,,nice job
,,good work
,,Good
,,Excellent
,,awesome
,,good app
,,nice work
,,Good work
,,educational
,,Very good
,,Very good
,,amezing stuff
,,good
,,nice
,,good app
,,love it
,,c
,,good job
,,user friendly
,,very informative
,,excellent...but upgrade into detail explanation ....maybe with diagrams
,,useful
,,informative
,,NICE
,,perfect
,,good
,,"I love this app .. Saw first when i was searching something else and saw this app... After checking
 the ratings of this i qas installed it and now got too much knowledge from this app"
,"cardiovascular system
",
,,Can't login as the screen remains blank upon opening the app.
,,"Decent app. Having to login at launch is very annoying, it either needs to remain logged in or updated to use biometric login."
,,"On my Galaxy 8+, I cannot get past the sign on screen. There are red buttons, but no text in them to connect or sign in."
,,Awesome & easy!
,,It is so cool i was the first one in 3rd gade to do it i felt sooooooo good to help kids whith heart problems when my coach said nobody did it yet i felt so bad i told my mom and she let me do it (yay)
,,My school told me to use it Hope your app gets 5 stars for fixing bugs people have
,,Heart Walk helps out lots of people. so proud to join the AHA.
,,This will help other's in need plz donate
,,very informative
,,good
,,The app doesn't work consistently on my Android phone and won't work at all on my iPad
,,To bad
,,Rite
,,Not opening
,,Well I am a med student and this app helped me with somethings regarding heart disease.
,,"I am willing to known about heart problems and this app helped me lot to get information about heart
 problems , causes , symptoms"
,,It's really great for the fire/EMS field
,,This is simply helpful.
,,A really useful app for Med students.
,,Good App
,,Nice
,,Good
,,"Nice app gives you a nice start in studing cardiology thanks alot and hope you do that for all branches 
of internal medicine"
,,Amazing app I never saw such a free and very easy app before
,,Very informative app Good information about general disorders
,,Nice app
,,Very good information
,,Good Hmm
,,Interesting
,,Good
,,Nice
,,Great work
,,
,Heart voyager,"Hello this app is very good for medical students, I really love it, so if you haven't try it please do."
,,nice app
,,Great. Kindly make some apps for prevention of blood born diseases.
,,Human brain
,,Its a nice app...
,,I love the app
,,Love it. Great
,,Easy to learn
,,Excellent
,,God work This ap wark god
,,Good app Very informative picture
,,It is the best That app is the one
,,You are serve for us
,,Cardio vascular Educational
,,It's ok
,,ok k
,,nice app
,,nice job
,,good work
,,Good
,,Excellent
,,awesome
,,good app
,,nice work
,,Good work
,,educational
,,Very good
,,Very good
,,The app doesn't work consistently on my Android phone and won't work at all on my iPad
,,To bad
,,Rite
,,Not opening
,,Well I am a med student and this app helped me with somethings regarding heart disease.
,,"I am willing to known about heart problems and this app helped me lot to get information about heart
 problems , causes , symptoms"
,,It's really great for the fire/EMS field
,,This is simply helpful.
,,A really useful app for Med students.
,,Good App
,,Nice
,,Good
,,"Nice app gives you a nice start in studing cardiology thanks alot and hope you do that for all branches 
of internal medicine"
,,Amazing app I never saw such a free and very easy app before
,,Very informative app Good information about general disorders
,,Nice app
,,Very good information
,,Good Hmm
,CardioVisual: Heart Health Built by Cardiologists,
,,"This app is very valuble for pre understanding your heart status as cardiovascular deseases seem to be increasing day by day, great job developers...."
,,Great app 👏 . Now you can be awared of heart risks ten years earlier
,,This is a great app and well worked. Please do insert the age levels below 20s too....
,,It's a very valuable app and well worked👌
,,This is a fantastic app...nice work✌️
,,Good job man...Very useful application.!!!
,,Interface is nice and simple.easy to use.
,,Great app and very useful...❤
,,Superb app & Great work... 😍👌
,,"In short, immaculate 🔥"
,,Woow😍😍😍great one✌️
,,A very useful app! Good job ! 👍
,,It is very usefull app
,,Wow 😍😍 this is a great app
,,This app is very valuable and it helps for cardiovascular deseases.. great job👌👌👌
,,This app is masterpiece.wow.
,,Good Job!
,,great work
,,This app is very useful app
,,nice work
,,great app
,,A good app
,,App was awesome
,,great app
,,brilliant and really usefull👌💥
,,"Simple, quick and useful."
,,"Nice app,and it is much useful ..thank u brother 👌👌👌👌👍"
,,"Good,but the ads are disturbing."
,,Thanks for putting this app.for refreshing
,,very helpful this app is great
,,Its nicest medical app
,,Not opening
,,Well I am a med student and this app helped me with somethings regarding heart disease.
,,"I am willing to known about heart problems and this app helped me lot to get information about heart
 problems , causes , symptoms"
,,It's really great for the fire/EMS field
,,This is simply helpful.
,,A really useful app for Med students.
,,Good App
,,Nice
,,Good
,,"Nice app gives you a nice start in studing cardiology thanks alot and hope you do that for all branches 
of internal medicine"
,,Amazing app I never saw such a free and very easy app before
,,Very informative app Good information about general disorders
,,Nice app
,,Very good information
,,Good Hmm
,,Interesting
,,Good
,,Nice
,,Great work
,,Woow great app ❤️
,,Very useful app.
,,Limited
,,Great app
,,Nice
,,Great app 
,,good job
,,nice app
,,This is actually a brilliant app....never have found a more better app than this before...
,,Works great for me. Very accurate results. Great work
,,I am yet to know
,,Ok nice
,,good work for all
,,Useless stuff
,,nice
,,"Good, useful"
,,nice app
